artist_id,artist_genres,artist_popularity,year
5V0MlUE1Bft0mbLlND7FJz,"adult standards, jazz, jazz blues, soul, swing, vocal jazz",67,1994
7qeBsFLeNEuzrDhDMbnDwF,miami bass,37,1994
41ESHLayJ5sDKjAOv6cMhe,"latin pop, mariachi, ranchera",68,1994
0blJzvevdXrp21YeI2vbco,"alternative metal, gothic metal, industrial metal, industrial rock, metal, nu metal",58,1994
2JXDwIo5HsiwTcTPQytrZ8,"grunge, pop rock, post-grunge",38,1994
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74,1994
1KsASRNugxU85T0u6zSg32,"dark pop, ectofolk, lilith, melancholia, new wave pop, permanent wave, piano rock, singer-songwriter",51,1994
2DaxqgrOhkeH0fpeiQq2f4,"beatlesque, britpop, madchester, permanent wave, rock",74,1994
19y5MFBH7gohEdGwKM7QsP,"quiet storm, soul",60,1994
5rvaaWutd0gsbc2iMNo9k5,"bachata, bachata dominicana",55,1994
6liAMWkVf5LH7YR9yfFy1Y,"alternative rock, art pop, dark pop, electronica, laboratorio, trip hop",60,1994
3hYtANQYrE6pd2PbtEyTIy,"musica mexicana, norteno, ranchera",73,1994
0OTnx2X2FDXeewcm72lavT,progressive bluegrass,48,1994
17hR0sYHpx7VYTMRfFUOmY,"classical, impressionism, neoclassicism, post-romantic era",57,1994
4tzxCsdhR0IIUNyzwrag4C,g funk,48,1994
6SFUC6ORDCIBqPssCBpeHT,"country, country dawn, country road, kentucky roots",48,1994
0YC192cP3KPCRWx8zr8MfZ,"german soundtrack, orchestral soundtrack, soundtrack",74,1994
1z8Z3JjXWNa7xbeXcyFZMt,"banda, grupera, gruperas inmortales, musica mexicana, norteno, ranchera",62,1994
47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",70,1994
1BBIIH0h76KN8gYeXFcPjR,"alternative metal, groove metal, industrial metal, north carolina metal, nu metal, old school thrash, sludge metal, stoner metal, stoner rock",44,1994
